session_index	session_id	civil_date	offset_minutes	chronological_role
49	OBSOPEN_US30_20240617	2024-06-17	180	VALIDATION_FOLD_1
50	OBSOPEN_US30_20240620	2024-06-20	180	VALIDATION_FOLD_1
51	OBSOPEN_US30_20240625	2024-06-25	180	VALIDATION_FOLD_1
52	OBSOPEN_US30_20240701	2024-07-01	180	VALIDATION_FOLD_1
53	OBSOPEN_US30_20240702	2024-07-02	180	VALIDATION_FOLD_1
54	OBSOPEN_US30_20240711	2024-07-11	180	VALIDATION_FOLD_1
55	OBSOPEN_US30_20240716	2024-07-16	180	VALIDATION_FOLD_1
56	OBSOPEN_US30_20240717	2024-07-17	180	VALIDATION_FOLD_1
57	OBSOPEN_US30_20240722	2024-07-22	180	VALIDATION_FOLD_1
58	OBSOPEN_US30_20240724	2024-07-24	180	VALIDATION_FOLD_1
59	OBSOPEN_US30_20240725	2024-07-25	180	VALIDATION_FOLD_1
60	OBSOPEN_US30_20240730	2024-07-30	180	VALIDATION_FOLD_1
61	OBSOPEN_US30_20240731	2024-07-31	180	VALIDATION_FOLD_2
62	OBSOPEN_US30_20240801	2024-08-01	180	VALIDATION_FOLD_2
63	OBSOPEN_US30_20240806	2024-08-06	180	VALIDATION_FOLD_2
64	OBSOPEN_US30_20240807	2024-08-07	180	VALIDATION_FOLD_2
65	OBSOPEN_US30_20240808	2024-08-08	180	VALIDATION_FOLD_2
66	OBSOPEN_US30_20240813	2024-08-13	180	VALIDATION_FOLD_2
67	OBSOPEN_US30_20240814	2024-08-14	180	VALIDATION_FOLD_2
68	OBSOPEN_US30_20240815	2024-08-15	180	VALIDATION_FOLD_2
69	OBSOPEN_US30_20240819	2024-08-19	180	VALIDATION_FOLD_2
70	OBSOPEN_US30_20240821	2024-08-21	180	VALIDATION_FOLD_2
71	OBSOPEN_US30_20240822	2024-08-22	180	VALIDATION_FOLD_2
72	OBSOPEN_US30_20240826	2024-08-26	180	VALIDATION_FOLD_2
73	OBSOPEN_US30_20240828	2024-08-28	180	VALIDATION_FOLD_2
74	OBSOPEN_US30_20240829	2024-08-29	180	VALIDATION_FOLD_2
75	OBSOPEN_US30_20240905	2024-09-05	180	VALIDATION_FOLD_2
76	OBSOPEN_US30_20240909	2024-09-09	180	VALIDATION_FOLD_2
77	OBSOPEN_US30_20240910	2024-09-10	180	VALIDATION_FOLD_2
78	OBSOPEN_US30_20240916	2024-09-16	180	VALIDATION_FOLD_2
79	OBSOPEN_US30_20240917	2024-09-17	180	VALIDATION_FOLD_2
80	OBSOPEN_US30_20240919	2024-09-19	180	VALIDATION_FOLD_2
81	OBSOPEN_US30_20240923	2024-09-23	180	VALIDATION_FOLD_2
82	OBSOPEN_US30_20240924	2024-09-24	180	VALIDATION_FOLD_2
83	OBSOPEN_US30_20240925	2024-09-25	180	VALIDATION_FOLD_2
84	OBSOPEN_US30_20240926	2024-09-26	180	VALIDATION_FOLD_2
85	OBSOPEN_US30_20241001	2024-10-01	180	VALIDATION_FOLD_2
86	OBSOPEN_US30_20241003	2024-10-03	180	VALIDATION_FOLD_2
87	OBSOPEN_US30_20241009	2024-10-09	180	VALIDATION_FOLD_2
88	OBSOPEN_US30_20241014	2024-10-14	180	VALIDATION_FOLD_2
89	OBSOPEN_US30_20241021	2024-10-21	180	VALIDATION_FOLD_2
90	OBSOPEN_US30_20241022	2024-10-22	180	VALIDATION_FOLD_2
91	OBSOPEN_US30_20241024	2024-10-24	180	VALIDATION_FOLD_2
92	OBSOPEN_US30_20250113	2025-01-13	120	VALIDATION_FOLD_3
93	OBSOPEN_US30_20250116	2025-01-16	120	VALIDATION_FOLD_3
94	OBSOPEN_US30_20250121	2025-01-21	120	VALIDATION_FOLD_3
95	OBSOPEN_US30_20250122	2025-01-22	120	VALIDATION_FOLD_3
96	OBSOPEN_US30_20250123	2025-01-23	120	VALIDATION_FOLD_3
97	OBSOPEN_US30_20250127	2025-01-27	120	VALIDATION_FOLD_3
98	OBSOPEN_US30_20250128	2025-01-28	120	VALIDATION_FOLD_3
99	OBSOPEN_US30_20250130	2025-01-30	120	VALIDATION_FOLD_3
100	OBSOPEN_US30_20250203	2025-02-03	120	VALIDATION_FOLD_3
101	OBSOPEN_US30_20250204	2025-02-04	120	VALIDATION_FOLD_3
102	OBSOPEN_US30_20250205	2025-02-05	120	VALIDATION_FOLD_3
103	OBSOPEN_US30_20250206	2025-02-06	120	VALIDATION_FOLD_3
104	OBSOPEN_US30_20250211	2025-02-11	120	VALIDATION_FOLD_3
105	OBSOPEN_US30_20250213	2025-02-13	120	VALIDATION_FOLD_3
106	OBSOPEN_US30_20250218	2025-02-18	120	VALIDATION_FOLD_3
107	OBSOPEN_US30_20250219	2025-02-19	120	VALIDATION_FOLD_3
108	OBSOPEN_US30_20250220	2025-02-20	120	VALIDATION_FOLD_3
109	OBSOPEN_US30_20250224	2025-02-24	120	VALIDATION_FOLD_3
110	OBSOPEN_US30_20250225	2025-02-25	120	VALIDATION_FOLD_3
111	OBSOPEN_US30_20250226	2025-02-26	120	VALIDATION_FOLD_3
112	OBSOPEN_US30_20250304	2025-03-04	120	VALIDATION_FOLD_3
113	OBSOPEN_US30_20250305	2025-03-05	120	VALIDATION_FOLD_3
114	OBSOPEN_US30_20250306	2025-03-06	120	VALIDATION_FOLD_3
115	OBSOPEN_US30_20250310	2025-03-10	120	VALIDATION_FOLD_3
116	OBSOPEN_US30_20250311	2025-03-11	120	VALIDATION_FOLD_3
117	OBSOPEN_US30_20250313	2025-03-13	120	VALIDATION_FOLD_3
118	OBSOPEN_US30_20250314	2025-03-14	120	VALIDATION_FOLD_3
119	OBSOPEN_US30_20250318	2025-03-18	120	VALIDATION_FOLD_3
120	OBSOPEN_US30_20250319	2025-03-19	120	VALIDATION_FOLD_3
121	OBSOPEN_US30_20250320	2025-03-20	120	VALIDATION_FOLD_3
122	OBSOPEN_US30_20250321	2025-03-21	120	VALIDATION_FOLD_3
123	OBSOPEN_US30_20250324	2025-03-24	120	VALIDATION_FOLD_4
124	OBSOPEN_US30_20250325	2025-03-25	120	VALIDATION_FOLD_4
125	OBSOPEN_US30_20250326	2025-03-26	120	VALIDATION_FOLD_4
126	OBSOPEN_US30_20250327	2025-03-27	120	VALIDATION_FOLD_4
127	OBSOPEN_US30_20250331	2025-03-31	180	VALIDATION_FOLD_4
128	OBSOPEN_US30_20250401	2025-04-01	180	VALIDATION_FOLD_4
129	OBSOPEN_US30_20250402	2025-04-02	180	VALIDATION_FOLD_4
130	OBSOPEN_US30_20250403	2025-04-03	180	VALIDATION_FOLD_4
131	OBSOPEN_US30_20250407	2025-04-07	180	VALIDATION_FOLD_4
132	OBSOPEN_US30_20250408	2025-04-08	180	VALIDATION_FOLD_4
133	OBSOPEN_US30_20250414	2025-04-14	180	VALIDATION_FOLD_4
134	OBSOPEN_US30_20250416	2025-04-16	180	VALIDATION_FOLD_4
135	OBSOPEN_US30_20250417	2025-04-17	180	VALIDATION_FOLD_4
136	OBSOPEN_US30_20250428	2025-04-28	180	VALIDATION_FOLD_4
137	OBSOPEN_US30_20250429	2025-04-29	180	VALIDATION_FOLD_4
138	OBSOPEN_US30_20250430	2025-04-30	180	VALIDATION_FOLD_4
139	OBSOPEN_US30_20250501	2025-05-01	180	VALIDATION_FOLD_4
140	OBSOPEN_US30_20250507	2025-05-07	180	VALIDATION_FOLD_4
141	OBSOPEN_US30_20250508	2025-05-08	180	VALIDATION_FOLD_4
142	OBSOPEN_US30_20250513	2025-05-13	180	VALIDATION_FOLD_4
143	OBSOPEN_US30_20250514	2025-05-14	180	VALIDATION_FOLD_4
144	OBSOPEN_US30_20250515	2025-05-15	180	VALIDATION_FOLD_4
145	OBSOPEN_US30_20250521	2025-05-21	180	VALIDATION_FOLD_4
146	OBSOPEN_US30_20250522	2025-05-22	180	VALIDATION_FOLD_4
147	OBSOPEN_US30_20250529	2025-05-29	180	VALIDATION_FOLD_4
148	OBSOPEN_US30_20250604	2025-06-04	180	VALIDATION_FOLD_4
149	OBSOPEN_US30_20250610	2025-06-10	180	VALIDATION_FOLD_4
150	OBSOPEN_US30_20250612	2025-06-12	180	VALIDATION_FOLD_4
151	OBSOPEN_US30_20250616	2025-06-16	180	VALIDATION_FOLD_4
152	OBSOPEN_US30_20250618	2025-06-18	180	VALIDATION_FOLD_4
153	OBSOPEN_US30_20250630	2025-06-30	180	VALIDATION_FOLD_4
