estimand_id	source_kind	template_id	range_k	adjacent_to_k	geometry_class	value_authority	observer_constraint	observer_alias_group	original_terminal_class	original_reason	original_temporal_status	original_decision_changed
WIDTH_DELTA_ADJACENT_K11_TO_K12	MACHINE_DERIVED	WIDTH_DELTA_ADJACENT	11	12	OBSERVER_CONSTRAINED	EMPIRICAL_MAGNITUDE_WITH_OBSERVER_IMPLIED_NONNEGATIVE_DOMAIN	NESTED_RANGES_FORCE_WIDTH_K_PLUS_1_GTE_WIDTH_K		DESCRIPTIVE_ONLY	FAILS_FAMILYWISE_CORRECTION	TEMPORALLY_SUPPORTED	False
WIDTH_DELTA_ADJACENT_K12_TO_K13	MACHINE_DERIVED	WIDTH_DELTA_ADJACENT	12	13	OBSERVER_CONSTRAINED	EMPIRICAL_MAGNITUDE_WITH_OBSERVER_IMPLIED_NONNEGATIVE_DOMAIN	NESTED_RANGES_FORCE_WIDTH_K_PLUS_1_GTE_WIDTH_K		INSUFFICIENT_SUPPORT	INSUFFICIENT_TEMPORAL_SUPPORT	TEMPORAL_SUPPORT_INSUFFICIENT	False
WIDTH_DELTA_ADJACENT_K13_TO_K14	MACHINE_DERIVED	WIDTH_DELTA_ADJACENT	13	14	OBSERVER_CONSTRAINED	EMPIRICAL_MAGNITUDE_WITH_OBSERVER_IMPLIED_NONNEGATIVE_DOMAIN	NESTED_RANGES_FORCE_WIDTH_K_PLUS_1_GTE_WIDTH_K		INSUFFICIENT_SUPPORT	INSUFFICIENT_TEMPORAL_SUPPORT	TEMPORAL_SUPPORT_INSUFFICIENT	False
WIDTH_DELTA_ADJACENT_K14_TO_K15	MACHINE_DERIVED	WIDTH_DELTA_ADJACENT	14	15	OBSERVER_CONSTRAINED	EMPIRICAL_MAGNITUDE_WITH_OBSERVER_IMPLIED_NONNEGATIVE_DOMAIN	NESTED_RANGES_FORCE_WIDTH_K_PLUS_1_GTE_WIDTH_K		DESCRIPTIVE_ONLY	FAILS_FAMILYWISE_CORRECTION	TEMPORALLY_SUPPORTED	False
WIDTH_DELTA_ADJACENT_K15_TO_K16	MACHINE_DERIVED	WIDTH_DELTA_ADJACENT	15	16	OBSERVER_CONSTRAINED	EMPIRICAL_MAGNITUDE_WITH_OBSERVER_IMPLIED_NONNEGATIVE_DOMAIN	NESTED_RANGES_FORCE_WIDTH_K_PLUS_1_GTE_WIDTH_K		DESCRIPTIVE_ONLY	FAILS_FAMILYWISE_CORRECTION	TEMPORALLY_SUPPORTED	False
WIDTH_DELTA_ADJACENT_K16_TO_K17	MACHINE_DERIVED	WIDTH_DELTA_ADJACENT	16	17	OBSERVER_CONSTRAINED	EMPIRICAL_MAGNITUDE_WITH_OBSERVER_IMPLIED_NONNEGATIVE_DOMAIN	NESTED_RANGES_FORCE_WIDTH_K_PLUS_1_GTE_WIDTH_K		INSUFFICIENT_SUPPORT	INSUFFICIENT_TEMPORAL_SUPPORT	TEMPORAL_SUPPORT_INSUFFICIENT	False
WIDTH_DELTA_ADJACENT_K17_TO_K18	MACHINE_DERIVED	WIDTH_DELTA_ADJACENT	17	18	OBSERVER_CONSTRAINED	EMPIRICAL_MAGNITUDE_WITH_OBSERVER_IMPLIED_NONNEGATIVE_DOMAIN	NESTED_RANGES_FORCE_WIDTH_K_PLUS_1_GTE_WIDTH_K		INSUFFICIENT_SUPPORT	INSUFFICIENT_TEMPORAL_SUPPORT	TEMPORAL_SUPPORT_INSUFFICIENT	False
WIDTH_DELTA_ADJACENT_K18_TO_K19	MACHINE_DERIVED	WIDTH_DELTA_ADJACENT	18	19	OBSERVER_CONSTRAINED	EMPIRICAL_MAGNITUDE_WITH_OBSERVER_IMPLIED_NONNEGATIVE_DOMAIN	NESTED_RANGES_FORCE_WIDTH_K_PLUS_1_GTE_WIDTH_K		INSUFFICIENT_SUPPORT	INSUFFICIENT_TEMPORAL_SUPPORT	TEMPORAL_SUPPORT_INSUFFICIENT	False
WIDTH_DELTA_ADJACENT_K19_TO_K20	MACHINE_DERIVED	WIDTH_DELTA_ADJACENT	19	20	OBSERVER_CONSTRAINED	EMPIRICAL_MAGNITUDE_WITH_OBSERVER_IMPLIED_NONNEGATIVE_DOMAIN	NESTED_RANGES_FORCE_WIDTH_K_PLUS_1_GTE_WIDTH_K		INSUFFICIENT_SUPPORT	INSUFFICIENT_TEMPORAL_SUPPORT	TEMPORAL_SUPPORT_INSUFFICIENT	False
WIDTH_DELTA_ADJACENT_K20_TO_K21	MACHINE_DERIVED	WIDTH_DELTA_ADJACENT	20	21	OBSERVER_CONSTRAINED	EMPIRICAL_MAGNITUDE_WITH_OBSERVER_IMPLIED_NONNEGATIVE_DOMAIN	NESTED_RANGES_FORCE_WIDTH_K_PLUS_1_GTE_WIDTH_K		DESCRIPTIVE_ONLY	FAILS_FAMILYWISE_CORRECTION	TEMPORALLY_SUPPORTED	False
WIDTH_DELTA_ADJACENT_K21_TO_K22	MACHINE_DERIVED	WIDTH_DELTA_ADJACENT	21	22	OBSERVER_CONSTRAINED	EMPIRICAL_MAGNITUDE_WITH_OBSERVER_IMPLIED_NONNEGATIVE_DOMAIN	NESTED_RANGES_FORCE_WIDTH_K_PLUS_1_GTE_WIDTH_K		DESCRIPTIVE_ONLY	FAILS_FAMILYWISE_CORRECTION	TEMPORALLY_SUPPORTED	False
WIDTH_DELTA_ADJACENT_K22_TO_K23	MACHINE_DERIVED	WIDTH_DELTA_ADJACENT	22	23	OBSERVER_CONSTRAINED	EMPIRICAL_MAGNITUDE_WITH_OBSERVER_IMPLIED_NONNEGATIVE_DOMAIN	NESTED_RANGES_FORCE_WIDTH_K_PLUS_1_GTE_WIDTH_K		DESCRIPTIVE_ONLY	FAILS_FAMILYWISE_CORRECTION	TEMPORALLY_SUPPORTED	False
WIDTH_DELTA_ADJACENT_K23_TO_K24	MACHINE_DERIVED	WIDTH_DELTA_ADJACENT	23	24	OBSERVER_CONSTRAINED	EMPIRICAL_MAGNITUDE_WITH_OBSERVER_IMPLIED_NONNEGATIVE_DOMAIN	NESTED_RANGES_FORCE_WIDTH_K_PLUS_1_GTE_WIDTH_K		DESCRIPTIVE_ONLY	FAILS_FAMILYWISE_CORRECTION	TEMPORALLY_SUPPORTED	False
WIDTH_DELTA_ADJACENT_K24_TO_K25	MACHINE_DERIVED	WIDTH_DELTA_ADJACENT	24	25	OBSERVER_CONSTRAINED	EMPIRICAL_MAGNITUDE_WITH_OBSERVER_IMPLIED_NONNEGATIVE_DOMAIN	NESTED_RANGES_FORCE_WIDTH_K_PLUS_1_GTE_WIDTH_K		INSUFFICIENT_SUPPORT	INSUFFICIENT_TEMPORAL_SUPPORT	TEMPORAL_SUPPORT_INSUFFICIENT	False
WIDTH_DELTA_ADJACENT_K25_TO_K26	MACHINE_DERIVED	WIDTH_DELTA_ADJACENT	25	26	OBSERVER_CONSTRAINED	EMPIRICAL_MAGNITUDE_WITH_OBSERVER_IMPLIED_NONNEGATIVE_DOMAIN	NESTED_RANGES_FORCE_WIDTH_K_PLUS_1_GTE_WIDTH_K		INSUFFICIENT_SUPPORT	INSUFFICIENT_TEMPORAL_SUPPORT	TEMPORAL_SUPPORT_INSUFFICIENT	False
WIDTH_DELTA_ADJACENT_K26_TO_K27	MACHINE_DERIVED	WIDTH_DELTA_ADJACENT	26	27	OBSERVER_CONSTRAINED	EMPIRICAL_MAGNITUDE_WITH_OBSERVER_IMPLIED_NONNEGATIVE_DOMAIN	NESTED_RANGES_FORCE_WIDTH_K_PLUS_1_GTE_WIDTH_K		INSUFFICIENT_SUPPORT	INSUFFICIENT_TEMPORAL_SUPPORT	TEMPORAL_SUPPORT_INSUFFICIENT	False
WIDTH_DELTA_ADJACENT_K27_TO_K28	MACHINE_DERIVED	WIDTH_DELTA_ADJACENT	27	28	OBSERVER_CONSTRAINED	EMPIRICAL_MAGNITUDE_WITH_OBSERVER_IMPLIED_NONNEGATIVE_DOMAIN	NESTED_RANGES_FORCE_WIDTH_K_PLUS_1_GTE_WIDTH_K		INSUFFICIENT_SUPPORT	INSUFFICIENT_TEMPORAL_SUPPORT	TEMPORAL_SUPPORT_INSUFFICIENT	False
WIDTH_DELTA_ADJACENT_K28_TO_K29	MACHINE_DERIVED	WIDTH_DELTA_ADJACENT	28	29	OBSERVER_CONSTRAINED	EMPIRICAL_MAGNITUDE_WITH_OBSERVER_IMPLIED_NONNEGATIVE_DOMAIN	NESTED_RANGES_FORCE_WIDTH_K_PLUS_1_GTE_WIDTH_K		INSUFFICIENT_SUPPORT	INSUFFICIENT_TEMPORAL_SUPPORT	TEMPORAL_SUPPORT_INSUFFICIENT	False
WIDTH_DELTA_ADJACENT_K29_TO_K30	MACHINE_DERIVED	WIDTH_DELTA_ADJACENT	29	30	OBSERVER_CONSTRAINED	EMPIRICAL_MAGNITUDE_WITH_OBSERVER_IMPLIED_NONNEGATIVE_DOMAIN	NESTED_RANGES_FORCE_WIDTH_K_PLUS_1_GTE_WIDTH_K		INSUFFICIENT_SUPPORT	INSUFFICIENT_TEMPORAL_SUPPORT	TEMPORAL_SUPPORT_INSUFFICIENT	False
FIRST_OUTSIDE_SIDE_BALANCE_K01	MACHINE_DERIVED	FIRST_OUTSIDE_SIDE_BALANCE	1		EMPIRICAL	EMPIRICAL_SIGNED_SIDE_AMONG_ELIGIBLE_OUTSIDE_OBSERVATIONS	NESTED_ZONE_AND_SHORTENING_HORIZON_CONSTRAIN_ELIGIBILITY_NOT_SIDE		INSUFFICIENT_SUPPORT	INSUFFICIENT_TEMPORAL_SUPPORT	TEMPORAL_SUPPORT_INSUFFICIENT	False
FIRST_OUTSIDE_SIDE_BALANCE_K02	MACHINE_DERIVED	FIRST_OUTSIDE_SIDE_BALANCE	2		EMPIRICAL	EMPIRICAL_SIGNED_SIDE_AMONG_ELIGIBLE_OUTSIDE_OBSERVATIONS	NESTED_ZONE_AND_SHORTENING_HORIZON_CONSTRAIN_ELIGIBILITY_NOT_SIDE		INSUFFICIENT_SUPPORT	INSUFFICIENT_TEMPORAL_SUPPORT	TEMPORAL_SUPPORT_INSUFFICIENT	False
FIRST_OUTSIDE_SIDE_BALANCE_K03	MACHINE_DERIVED	FIRST_OUTSIDE_SIDE_BALANCE	3		EMPIRICAL	EMPIRICAL_SIGNED_SIDE_AMONG_ELIGIBLE_OUTSIDE_OBSERVATIONS	NESTED_ZONE_AND_SHORTENING_HORIZON_CONSTRAIN_ELIGIBILITY_NOT_SIDE		INSUFFICIENT_SUPPORT	INSUFFICIENT_TEMPORAL_SUPPORT	TEMPORAL_SUPPORT_INSUFFICIENT	False
FIRST_OUTSIDE_SIDE_BALANCE_K04	MACHINE_DERIVED	FIRST_OUTSIDE_SIDE_BALANCE	4		EMPIRICAL	EMPIRICAL_SIGNED_SIDE_AMONG_ELIGIBLE_OUTSIDE_OBSERVATIONS	NESTED_ZONE_AND_SHORTENING_HORIZON_CONSTRAIN_ELIGIBILITY_NOT_SIDE		DESCRIPTIVE_ONLY	FAILS_UNADJUSTED_EVIDENCE	TEMPORALLY_UNSTABLE	False
FIRST_OUTSIDE_SIDE_BALANCE_K05	MACHINE_DERIVED	FIRST_OUTSIDE_SIDE_BALANCE	5		EMPIRICAL	EMPIRICAL_SIGNED_SIDE_AMONG_ELIGIBLE_OUTSIDE_OBSERVATIONS	NESTED_ZONE_AND_SHORTENING_HORIZON_CONSTRAIN_ELIGIBILITY_NOT_SIDE		DESCRIPTIVE_ONLY	FAILS_UNADJUSTED_EVIDENCE	TEMPORALLY_UNSTABLE	False
FIRST_OUTSIDE_SIDE_BALANCE_K06	MACHINE_DERIVED	FIRST_OUTSIDE_SIDE_BALANCE	6		EMPIRICAL	EMPIRICAL_SIGNED_SIDE_AMONG_ELIGIBLE_OUTSIDE_OBSERVATIONS	NESTED_ZONE_AND_SHORTENING_HORIZON_CONSTRAIN_ELIGIBILITY_NOT_SIDE		DESCRIPTIVE_ONLY	FAILS_UNADJUSTED_EVIDENCE	TEMPORALLY_UNSTABLE	False
FIRST_OUTSIDE_SIDE_BALANCE_K07	MACHINE_DERIVED	FIRST_OUTSIDE_SIDE_BALANCE	7		EMPIRICAL	EMPIRICAL_SIGNED_SIDE_AMONG_ELIGIBLE_OUTSIDE_OBSERVATIONS	NESTED_ZONE_AND_SHORTENING_HORIZON_CONSTRAIN_ELIGIBILITY_NOT_SIDE		DESCRIPTIVE_ONLY	FAILS_UNADJUSTED_EVIDENCE	TEMPORALLY_UNSTABLE	False
FIRST_OUTSIDE_SIDE_BALANCE_K08	MACHINE_DERIVED	FIRST_OUTSIDE_SIDE_BALANCE	8		EMPIRICAL	EMPIRICAL_SIGNED_SIDE_AMONG_ELIGIBLE_OUTSIDE_OBSERVATIONS	NESTED_ZONE_AND_SHORTENING_HORIZON_CONSTRAIN_ELIGIBILITY_NOT_SIDE		DESCRIPTIVE_ONLY	FAILS_UNADJUSTED_EVIDENCE	TEMPORALLY_UNSTABLE	False
FIRST_OUTSIDE_SIDE_BALANCE_K09	MACHINE_DERIVED	FIRST_OUTSIDE_SIDE_BALANCE	9		EMPIRICAL	EMPIRICAL_SIGNED_SIDE_AMONG_ELIGIBLE_OUTSIDE_OBSERVATIONS	NESTED_ZONE_AND_SHORTENING_HORIZON_CONSTRAIN_ELIGIBILITY_NOT_SIDE		DESCRIPTIVE_ONLY	FAILS_UNADJUSTED_EVIDENCE	TEMPORALLY_UNSTABLE	False
FIRST_OUTSIDE_SIDE_BALANCE_K10	MACHINE_DERIVED	FIRST_OUTSIDE_SIDE_BALANCE	10		EMPIRICAL	EMPIRICAL_SIGNED_SIDE_AMONG_ELIGIBLE_OUTSIDE_OBSERVATIONS	NESTED_ZONE_AND_SHORTENING_HORIZON_CONSTRAIN_ELIGIBILITY_NOT_SIDE		DESCRIPTIVE_ONLY	FAILS_UNADJUSTED_EVIDENCE	TEMPORALLY_UNSTABLE	False
FIRST_OUTSIDE_SIDE_BALANCE_K11	MACHINE_DERIVED	FIRST_OUTSIDE_SIDE_BALANCE	11		EMPIRICAL	EMPIRICAL_SIGNED_SIDE_AMONG_ELIGIBLE_OUTSIDE_OBSERVATIONS	NESTED_ZONE_AND_SHORTENING_HORIZON_CONSTRAIN_ELIGIBILITY_NOT_SIDE		DESCRIPTIVE_ONLY	FAILS_UNADJUSTED_EVIDENCE	TEMPORALLY_UNSTABLE	False
FIRST_OUTSIDE_SIDE_BALANCE_K12	MACHINE_DERIVED	FIRST_OUTSIDE_SIDE_BALANCE	12		EMPIRICAL	EMPIRICAL_SIGNED_SIDE_AMONG_ELIGIBLE_OUTSIDE_OBSERVATIONS	NESTED_ZONE_AND_SHORTENING_HORIZON_CONSTRAIN_ELIGIBILITY_NOT_SIDE		DESCRIPTIVE_ONLY	FAILS_UNADJUSTED_EVIDENCE	TEMPORALLY_UNSTABLE	False
FIRST_OUTSIDE_SIDE_BALANCE_K13	MACHINE_DERIVED	FIRST_OUTSIDE_SIDE_BALANCE	13		EMPIRICAL	EMPIRICAL_SIGNED_SIDE_AMONG_ELIGIBLE_OUTSIDE_OBSERVATIONS	NESTED_ZONE_AND_SHORTENING_HORIZON_CONSTRAIN_ELIGIBILITY_NOT_SIDE		DESCRIPTIVE_ONLY	FAILS_UNADJUSTED_EVIDENCE	TEMPORALLY_UNSTABLE	False
FIRST_OUTSIDE_SIDE_BALANCE_K14	MACHINE_DERIVED	FIRST_OUTSIDE_SIDE_BALANCE	14		EMPIRICAL	EMPIRICAL_SIGNED_SIDE_AMONG_ELIGIBLE_OUTSIDE_OBSERVATIONS	NESTED_ZONE_AND_SHORTENING_HORIZON_CONSTRAIN_ELIGIBILITY_NOT_SIDE		DESCRIPTIVE_ONLY	FAILS_UNADJUSTED_EVIDENCE	TEMPORALLY_UNSTABLE	False
FIRST_OUTSIDE_SIDE_BALANCE_K15	MACHINE_DERIVED	FIRST_OUTSIDE_SIDE_BALANCE	15		EMPIRICAL	EMPIRICAL_SIGNED_SIDE_AMONG_ELIGIBLE_OUTSIDE_OBSERVATIONS	NESTED_ZONE_AND_SHORTENING_HORIZON_CONSTRAIN_ELIGIBILITY_NOT_SIDE		DESCRIPTIVE_ONLY	FAILS_UNADJUSTED_EVIDENCE	TEMPORALLY_UNSTABLE	False
FIRST_OUTSIDE_SIDE_BALANCE_K16	MACHINE_DERIVED	FIRST_OUTSIDE_SIDE_BALANCE	16		EMPIRICAL	EMPIRICAL_SIGNED_SIDE_AMONG_ELIGIBLE_OUTSIDE_OBSERVATIONS	NESTED_ZONE_AND_SHORTENING_HORIZON_CONSTRAIN_ELIGIBILITY_NOT_SIDE		DESCRIPTIVE_ONLY	FAILS_UNADJUSTED_EVIDENCE	TEMPORALLY_UNSTABLE	False
FIRST_OUTSIDE_SIDE_BALANCE_K17	MACHINE_DERIVED	FIRST_OUTSIDE_SIDE_BALANCE	17		EMPIRICAL	EMPIRICAL_SIGNED_SIDE_AMONG_ELIGIBLE_OUTSIDE_OBSERVATIONS	NESTED_ZONE_AND_SHORTENING_HORIZON_CONSTRAIN_ELIGIBILITY_NOT_SIDE		DESCRIPTIVE_ONLY	FAILS_UNADJUSTED_EVIDENCE	TEMPORALLY_UNSTABLE	False
FIRST_OUTSIDE_SIDE_BALANCE_K18	MACHINE_DERIVED	FIRST_OUTSIDE_SIDE_BALANCE	18		EMPIRICAL	EMPIRICAL_SIGNED_SIDE_AMONG_ELIGIBLE_OUTSIDE_OBSERVATIONS	NESTED_ZONE_AND_SHORTENING_HORIZON_CONSTRAIN_ELIGIBILITY_NOT_SIDE		INSUFFICIENT_SUPPORT	INSUFFICIENT_TEMPORAL_SUPPORT	TEMPORAL_SUPPORT_INSUFFICIENT	False
FIRST_OUTSIDE_SIDE_BALANCE_K19	MACHINE_DERIVED	FIRST_OUTSIDE_SIDE_BALANCE	19		EMPIRICAL	EMPIRICAL_SIGNED_SIDE_AMONG_ELIGIBLE_OUTSIDE_OBSERVATIONS	NESTED_ZONE_AND_SHORTENING_HORIZON_CONSTRAIN_ELIGIBILITY_NOT_SIDE		INSUFFICIENT_SUPPORT	INSUFFICIENT_TEMPORAL_SUPPORT	TEMPORAL_SUPPORT_INSUFFICIENT	False
FIRST_OUTSIDE_SIDE_BALANCE_K20	MACHINE_DERIVED	FIRST_OUTSIDE_SIDE_BALANCE	20		EMPIRICAL	EMPIRICAL_SIGNED_SIDE_AMONG_ELIGIBLE_OUTSIDE_OBSERVATIONS	NESTED_ZONE_AND_SHORTENING_HORIZON_CONSTRAIN_ELIGIBILITY_NOT_SIDE		INSUFFICIENT_SUPPORT	INSUFFICIENT_TEMPORAL_SUPPORT	TEMPORAL_SUPPORT_INSUFFICIENT	False
FIRST_OUTSIDE_SIDE_BALANCE_K21	MACHINE_DERIVED	FIRST_OUTSIDE_SIDE_BALANCE	21		EMPIRICAL	EMPIRICAL_SIGNED_SIDE_AMONG_ELIGIBLE_OUTSIDE_OBSERVATIONS	NESTED_ZONE_AND_SHORTENING_HORIZON_CONSTRAIN_ELIGIBILITY_NOT_SIDE		INSUFFICIENT_SUPPORT	INSUFFICIENT_TEMPORAL_SUPPORT	TEMPORAL_SUPPORT_INSUFFICIENT	False
FIRST_OUTSIDE_SIDE_BALANCE_K22	MACHINE_DERIVED	FIRST_OUTSIDE_SIDE_BALANCE	22		EMPIRICAL	EMPIRICAL_SIGNED_SIDE_AMONG_ELIGIBLE_OUTSIDE_OBSERVATIONS	NESTED_ZONE_AND_SHORTENING_HORIZON_CONSTRAIN_ELIGIBILITY_NOT_SIDE		INSUFFICIENT_SUPPORT	INSUFFICIENT_TEMPORAL_SUPPORT	TEMPORAL_SUPPORT_INSUFFICIENT	False
FIRST_OUTSIDE_SIDE_BALANCE_K23	MACHINE_DERIVED	FIRST_OUTSIDE_SIDE_BALANCE	23		EMPIRICAL	EMPIRICAL_SIGNED_SIDE_AMONG_ELIGIBLE_OUTSIDE_OBSERVATIONS	NESTED_ZONE_AND_SHORTENING_HORIZON_CONSTRAIN_ELIGIBILITY_NOT_SIDE		INSUFFICIENT_SUPPORT	INSUFFICIENT_TEMPORAL_SUPPORT	TEMPORAL_SUPPORT_INSUFFICIENT	False
FIRST_OUTSIDE_SIDE_BALANCE_K24	MACHINE_DERIVED	FIRST_OUTSIDE_SIDE_BALANCE	24		EMPIRICAL	EMPIRICAL_SIGNED_SIDE_AMONG_ELIGIBLE_OUTSIDE_OBSERVATIONS	NESTED_ZONE_AND_SHORTENING_HORIZON_CONSTRAIN_ELIGIBILITY_NOT_SIDE		INSUFFICIENT_SUPPORT	INSUFFICIENT_TEMPORAL_SUPPORT	TEMPORAL_SUPPORT_INSUFFICIENT	False
FIRST_OUTSIDE_SIDE_BALANCE_K25	MACHINE_DERIVED	FIRST_OUTSIDE_SIDE_BALANCE	25		EMPIRICAL	EMPIRICAL_SIGNED_SIDE_AMONG_ELIGIBLE_OUTSIDE_OBSERVATIONS	NESTED_ZONE_AND_SHORTENING_HORIZON_CONSTRAIN_ELIGIBILITY_NOT_SIDE		INSUFFICIENT_SUPPORT	INSUFFICIENT_TEMPORAL_SUPPORT	TEMPORAL_SUPPORT_INSUFFICIENT	False
FIRST_OUTSIDE_SIDE_BALANCE_K26	MACHINE_DERIVED	FIRST_OUTSIDE_SIDE_BALANCE	26		EMPIRICAL	EMPIRICAL_SIGNED_SIDE_AMONG_ELIGIBLE_OUTSIDE_OBSERVATIONS	NESTED_ZONE_AND_SHORTENING_HORIZON_CONSTRAIN_ELIGIBILITY_NOT_SIDE		INSUFFICIENT_SUPPORT	INSUFFICIENT_TEMPORAL_SUPPORT	TEMPORAL_SUPPORT_INSUFFICIENT	False
FIRST_OUTSIDE_SIDE_BALANCE_K27	MACHINE_DERIVED	FIRST_OUTSIDE_SIDE_BALANCE	27		EMPIRICAL	EMPIRICAL_SIGNED_SIDE_AMONG_ELIGIBLE_OUTSIDE_OBSERVATIONS	NESTED_ZONE_AND_SHORTENING_HORIZON_CONSTRAIN_ELIGIBILITY_NOT_SIDE		INSUFFICIENT_SUPPORT	INSUFFICIENT_TEMPORAL_SUPPORT	TEMPORAL_SUPPORT_INSUFFICIENT	False
FIRST_OUTSIDE_SIDE_BALANCE_K28	MACHINE_DERIVED	FIRST_OUTSIDE_SIDE_BALANCE	28		EMPIRICAL	EMPIRICAL_SIGNED_SIDE_AMONG_ELIGIBLE_OUTSIDE_OBSERVATIONS	NESTED_ZONE_AND_SHORTENING_HORIZON_CONSTRAIN_ELIGIBILITY_NOT_SIDE		INSUFFICIENT_SUPPORT	INSUFFICIENT_TEMPORAL_SUPPORT	TEMPORAL_SUPPORT_INSUFFICIENT	False
