field_id	layer	value_type	value_mode	value_json	evidence_class	run_binding	consumption_status	config_hash_membership	provenance_json
master.auction.enabled	AUCTION_GRAMMAR	bool	CONSTANT	{"mode":"CONSTANT","value":true,"distinct_count":1,"distinct_values":[true]}	RECOVERED_FROM_COLLECTION_ENVIRONMENT	NOT_RUN_BOUND_NO_EX5_OR_EXPANDED_MASTER_CONFIG_IN_RUN_RECEIPT	SEMANTICALLY_CONSUMED	MASTER_INTERNAL_CONFIG_HASH_NOT_RUN_RECORDED	[{"kind":"SEALED_SOURCE_CLOSURE","logical_path":"Include/MasterStructure/MasterAuctionTypes.mqh","sha256":"eebceed692eaeed4a4fc987488dba5c34b5d6045a962d83135001a7831b74f3b","marker":"cfg.enabled","lines":[419]},{"kind":"SEALED_SOURCE_CLOSURE","logical_path":"Include/MasterStructure/MasterController.mqh","sha256":"237ee3d3c8197ee19c9d2f65d746e9b0386030df438d29528ea5aa1935d5e0fd","marker":"m_config.auction.enabled","lines":[165]}]
master.lifecycle.retire_after_rebuilds	NODE_LIFECYCLE	int	CONSTANT	{"mode":"CONSTANT","value":3,"distinct_count":1,"distinct_values":[3]}	RECOVERED_FROM_COLLECTION_ENVIRONMENT	NOT_RUN_BOUND_NO_EX5_OR_EXPANDED_MASTER_CONFIG_IN_RUN_RECEIPT	SEMANTICALLY_CONSUMED	MASTER_INTERNAL_CONFIG_HASH_NOT_RUN_RECORDED	[{"kind":"SEALED_SOURCE_CLOSURE","logical_path":"Include/MasterStructure/MasterTypes.mqh","sha256":"ec80e5a2770bd55048990111ca96af9bd18eb17b06f8057cd1bafbe3d1fa7d8e","marker":"cfg.retire_after_rebuilds","lines":[350]},{"kind":"SEALED_SOURCE_CLOSURE","logical_path":"Include/MasterStructure/MasterController.mqh","sha256":"237ee3d3c8197ee19c9d2f65d746e9b0386030df438d29528ea5aa1935d5e0fd","marker":"m_config.lifecycle.retire_after_rebuilds","lines":[164,532]}]
master.clustering.max_levels	CLUSTERING	int	CONSTANT	{"mode":"CONSTANT","value":1024,"distinct_count":1,"distinct_values":[1024]}	RECOVERED_FROM_COLLECTION_ENVIRONMENT	NOT_RUN_BOUND_NO_EX5_OR_EXPANDED_MASTER_CONFIG_IN_RUN_RECEIPT	SEMANTICALLY_CONSUMED	MASTER_INTERNAL_CONFIG_HASH_NOT_RUN_RECORDED	[{"kind":"SEALED_SOURCE_CLOSURE","logical_path":"Include/MasterStructure/MasterTypes.mqh","sha256":"ec80e5a2770bd55048990111ca96af9bd18eb17b06f8057cd1bafbe3d1fa7d8e","marker":"cfg.max_levels","lines":[479]},{"kind":"SEALED_SOURCE_CLOSURE","logical_path":"Include/MasterStructure/MasterController.mqh","sha256":"237ee3d3c8197ee19c9d2f65d746e9b0386030df438d29528ea5aa1935d5e0fd","marker":"m_config.clustering.max_levels","lines":[161,284,529,761]}]
master.clustering.min_samples	CLUSTERING	int	CONSTANT	{"mode":"CONSTANT","value":2,"distinct_count":1,"distinct_values":[2]}	RECOVERED_FROM_COLLECTION_ENVIRONMENT	NOT_RUN_BOUND_NO_EX5_OR_EXPANDED_MASTER_CONFIG_IN_RUN_RECEIPT	SEMANTICALLY_CONSUMED	MASTER_INTERNAL_CONFIG_HASH_NOT_RUN_RECORDED	[{"kind":"SEALED_SOURCE_CLOSURE","logical_path":"Include/MasterStructure/MasterTypes.mqh","sha256":"ec80e5a2770bd55048990111ca96af9bd18eb17b06f8057cd1bafbe3d1fa7d8e","marker":"cfg.min_samples","lines":[478]},{"kind":"SEALED_SOURCE_CLOSURE","logical_path":"Include/MasterStructure/MasterController.mqh","sha256":"237ee3d3c8197ee19c9d2f65d746e9b0386030df438d29528ea5aa1935d5e0fd","marker":"m_config.clustering.min_samples","lines":[160,528]}]
master.clustering.use_interval_distance	CLUSTERING	bool	CONSTANT	{"mode":"CONSTANT","value":true,"distinct_count":1,"distinct_values":[true]}	RECOVERED_FROM_COLLECTION_ENVIRONMENT	NOT_RUN_BOUND_NO_EX5_OR_EXPANDED_MASTER_CONFIG_IN_RUN_RECEIPT	SEMANTICALLY_CONSUMED	MASTER_INTERNAL_CONFIG_HASH_NOT_RUN_RECORDED	[{"kind":"SEALED_SOURCE_CLOSURE","logical_path":"Include/MasterStructure/MasterTypes.mqh","sha256":"ec80e5a2770bd55048990111ca96af9bd18eb17b06f8057cd1bafbe3d1fa7d8e","marker":"cfg.use_interval_distance","lines":[481]},{"kind":"SEALED_SOURCE_CLOSURE","logical_path":"Include/MasterStructure/MasterController.mqh","sha256":"237ee3d3c8197ee19c9d2f65d746e9b0386030df438d29528ea5aa1935d5e0fd","marker":"m_config.clustering.use_interval_distance","lines":[162]}]
master.clustering.max_nodes	CLUSTERING	int	CONSTANT	{"mode":"CONSTANT","value":256,"distinct_count":1,"distinct_values":[256]}	RECOVERED_FROM_COLLECTION_ENVIRONMENT	NOT_RUN_BOUND_NO_EX5_OR_EXPANDED_MASTER_CONFIG_IN_RUN_RECEIPT	SEMANTICALLY_CONSUMED	MASTER_INTERNAL_CONFIG_HASH_NOT_RUN_RECORDED	[{"kind":"SEALED_SOURCE_CLOSURE","logical_path":"Include/MasterStructure/MasterTypes.mqh","sha256":"ec80e5a2770bd55048990111ca96af9bd18eb17b06f8057cd1bafbe3d1fa7d8e","marker":"cfg.max_nodes","lines":[480]},{"kind":"SEALED_SOURCE_CLOSURE","logical_path":"Include/MasterStructure/MasterController.mqh","sha256":"237ee3d3c8197ee19c9d2f65d746e9b0386030df438d29528ea5aa1935d5e0fd","marker":"m_config.clustering.max_nodes","lines":[161,529]}]
master.wayne.periods_to_keep	WAYNE	int	CONSTANT	{"mode":"CONSTANT","value":20,"distinct_count":1,"distinct_values":[20]}	RECOVERED_FROM_COLLECTION_ENVIRONMENT	NOT_RUN_BOUND_NO_EX5_OR_EXPANDED_MASTER_CONFIG_IN_RUN_RECEIPT	SEMANTICALLY_CONSUMED	MASTER_INTERNAL_CONFIG_HASH_NOT_RUN_RECORDED	[{"kind":"SEALED_SOURCE_CLOSURE","logical_path":"Include/01wayne.mqh","sha256":"fd81fc9c667272c15c4005ad65f9821863050d45ee4437171809946c23c94f77","marker":"cfg.periods_to_keep","lines":[179,351,528]},{"kind":"SEALED_SOURCE_CLOSURE","logical_path":"Include/01wayne.mqh","sha256":"fd81fc9c667272c15c4005ad65f9821863050d45ee4437171809946c23c94f77","marker":"m_cfg.periods_to_keep","lines":[351,528]}]
master.volkitt.profile_session	VOLKITT	enum	CONSTANT	{"mode":"CONSTANT","value":"KVP_PROFILE_DAILY","distinct_count":1,"distinct_values":["KVP_PROFILE_DAILY"]}	RECOVERED_FROM_COLLECTION_ENVIRONMENT	NOT_RUN_BOUND_NO_EX5_OR_EXPANDED_MASTER_CONFIG_IN_RUN_RECEIPT	SEMANTICALLY_CONSUMED	MASTER_INTERNAL_CONFIG_HASH_NOT_RUN_RECORDED	[{"kind":"SEALED_SOURCE_CLOSURE","logical_path":"Include/01Marketmain.mqh","sha256":"c684af82ce1d313f590aed7a7072119e6864407fb20fcdd2c651e8984189987f","marker":"cfg.profile_session","lines":[394,1510,1511,1512,1584,1681]},{"kind":"SEALED_SOURCE_CLOSURE","logical_path":"Include/01Marketmain.mqh","sha256":"c684af82ce1d313f590aed7a7072119e6864407fb20fcdd2c651e8984189987f","marker":"m_cfg.profile_session","lines":[1510,1511,1512,1584,1681]}]
master.volkitt.enable_profile	VOLKITT	bool	CONSTANT	{"mode":"CONSTANT","value":true,"distinct_count":1,"distinct_values":[true]}	RECOVERED_FROM_COLLECTION_ENVIRONMENT	NOT_RUN_BOUND_NO_EX5_OR_EXPANDED_MASTER_CONFIG_IN_RUN_RECEIPT	SEMANTICALLY_CONSUMED	MASTER_INTERNAL_CONFIG_HASH_NOT_RUN_RECORDED	[{"kind":"SEALED_SOURCE_CLOSURE","logical_path":"Include/01Marketmain.mqh","sha256":"c684af82ce1d313f590aed7a7072119e6864407fb20fcdd2c651e8984189987f","marker":"cfg.enable_profile","lines":[393,1847,2276]},{"kind":"SEALED_SOURCE_CLOSURE","logical_path":"Include/01Marketmain.mqh","sha256":"c684af82ce1d313f590aed7a7072119e6864407fb20fcdd2c651e8984189987f","marker":"m_cfg.enable_profile","lines":[1847,2276]}]
master.volkitt.value_area_percent	VOLKITT	int	CONSTANT	{"mode":"CONSTANT","value":70,"distinct_count":1,"distinct_values":[70]}	RECOVERED_FROM_COLLECTION_ENVIRONMENT	NOT_RUN_BOUND_NO_EX5_OR_EXPANDED_MASTER_CONFIG_IN_RUN_RECEIPT	SEMANTICALLY_CONSUMED	MASTER_INTERNAL_CONFIG_HASH_NOT_RUN_RECORDED	[{"kind":"SEALED_SOURCE_CLOSURE","logical_path":"Include/01Marketmain.mqh","sha256":"c684af82ce1d313f590aed7a7072119e6864407fb20fcdd2c651e8984189987f","marker":"cfg.value_area_percent","lines":[396,1762,2169]},{"kind":"SEALED_SOURCE_CLOSURE","logical_path":"Include/01Marketmain.mqh","sha256":"c684af82ce1d313f590aed7a7072119e6864407fb20fcdd2c651e8984189987f","marker":"m_cfg.value_area_percent","lines":[1762,2169]}]
master.volkitt.profiles_to_keep	VOLKITT	int	CONSTANT	{"mode":"CONSTANT","value":2,"distinct_count":1,"distinct_values":[2]}	RECOVERED_FROM_COLLECTION_ENVIRONMENT	NOT_RUN_BOUND_NO_EX5_OR_EXPANDED_MASTER_CONFIG_IN_RUN_RECEIPT	SEMANTICALLY_CONSUMED	MASTER_INTERNAL_CONFIG_HASH_NOT_RUN_RECORDED	[{"kind":"SEALED_SOURCE_CLOSURE","logical_path":"Include/01Marketmain.mqh","sha256":"c684af82ce1d313f590aed7a7072119e6864407fb20fcdd2c651e8984189987f","marker":"cfg.profiles_to_keep","lines":[395,1857,2168]},{"kind":"SEALED_SOURCE_CLOSURE","logical_path":"Include/01Marketmain.mqh","sha256":"c684af82ce1d313f590aed7a7072119e6864407fb20fcdd2c651e8984189987f","marker":"m_cfg.profiles_to_keep","lines":[1857,2168]}]
master.volkitt.sentinel_min_stretch_atr	VOLKITT	double	CONSTANT	{"mode":"CONSTANT","value":1,"distinct_count":1,"distinct_values":[1]}	RECOVERED_FROM_COLLECTION_ENVIRONMENT	NOT_RUN_BOUND_NO_EX5_OR_EXPANDED_MASTER_CONFIG_IN_RUN_RECEIPT	SEMANTICALLY_CONSUMED	MASTER_INTERNAL_CONFIG_HASH_NOT_RUN_RECORDED	[{"kind":"SEALED_SOURCE_CLOSURE","logical_path":"Include/01Marketmain.mqh","sha256":"c684af82ce1d313f590aed7a7072119e6864407fb20fcdd2c651e8984189987f","marker":"cfg.sentinel_min_stretch_atr","lines":[389,1238,1242]},{"kind":"SEALED_SOURCE_CLOSURE","logical_path":"Include/01Marketmain.mqh","sha256":"c684af82ce1d313f590aed7a7072119e6864407fb20fcdd2c651e8984189987f","marker":"m_cfg.sentinel_min_stretch_atr","lines":[1238,1242]}]
master.volkitt.sentinel_arm_gap_fraction	VOLKITT	double	CONSTANT	{"mode":"CONSTANT","value":0.25,"distinct_count":1,"distinct_values":[0.25]}	RECOVERED_FROM_COLLECTION_ENVIRONMENT	NOT_RUN_BOUND_NO_EX5_OR_EXPANDED_MASTER_CONFIG_IN_RUN_RECEIPT	SEMANTICALLY_CONSUMED	MASTER_INTERNAL_CONFIG_HASH_NOT_RUN_RECORDED	[{"kind":"SEALED_SOURCE_CLOSURE","logical_path":"Include/01Marketmain.mqh","sha256":"c684af82ce1d313f590aed7a7072119e6864407fb20fcdd2c651e8984189987f","marker":"cfg.sentinel_arm_gap_fraction","lines":[388,1119]},{"kind":"SEALED_SOURCE_CLOSURE","logical_path":"Include/01Marketmain.mqh","sha256":"c684af82ce1d313f590aed7a7072119e6864407fb20fcdd2c651e8984189987f","marker":"m_cfg.sentinel_arm_gap_fraction","lines":[1119]}]
master.volkitt.sentinel_reentry_bars	VOLKITT	int	CONSTANT	{"mode":"CONSTANT","value":3,"distinct_count":1,"distinct_values":[3]}	RECOVERED_FROM_COLLECTION_ENVIRONMENT	NOT_RUN_BOUND_NO_EX5_OR_EXPANDED_MASTER_CONFIG_IN_RUN_RECEIPT	SEMANTICALLY_CONSUMED	MASTER_INTERNAL_CONFIG_HASH_NOT_RUN_RECORDED	[{"kind":"SEALED_SOURCE_CLOSURE","logical_path":"Include/01Marketmain.mqh","sha256":"c684af82ce1d313f590aed7a7072119e6864407fb20fcdd2c651e8984189987f","marker":"cfg.sentinel_reentry_bars","lines":[391,1170,2167]},{"kind":"SEALED_SOURCE_CLOSURE","logical_path":"Include/01Marketmain.mqh","sha256":"c684af82ce1d313f590aed7a7072119e6864407fb20fcdd2c651e8984189987f","marker":"m_cfg.sentinel_reentry_bars","lines":[1170,2167]}]
master.volkitt.sentinel_reentry_buffer_atr	VOLKITT	double	CONSTANT	{"mode":"CONSTANT","value":0.25,"distinct_count":1,"distinct_values":[0.25]}	RECOVERED_FROM_COLLECTION_ENVIRONMENT	NOT_RUN_BOUND_NO_EX5_OR_EXPANDED_MASTER_CONFIG_IN_RUN_RECEIPT	SEMANTICALLY_CONSUMED	MASTER_INTERNAL_CONFIG_HASH_NOT_RUN_RECORDED	[{"kind":"SEALED_SOURCE_CLOSURE","logical_path":"Include/01Marketmain.mqh","sha256":"c684af82ce1d313f590aed7a7072119e6864407fb20fcdd2c651e8984189987f","marker":"cfg.sentinel_reentry_buffer_atr","lines":[390,1168]},{"kind":"SEALED_SOURCE_CLOSURE","logical_path":"Include/01Marketmain.mqh","sha256":"c684af82ce1d313f590aed7a7072119e6864407fb20fcdd2c651e8984189987f","marker":"m_cfg.sentinel_reentry_buffer_atr","lines":[1168]}]
master.volkitt.prominent_poc_percent	VOLKITT	double	CONSTANT	{"mode":"CONSTANT","value":101,"distinct_count":1,"distinct_values":[101]}	RECOVERED_FROM_COLLECTION_ENVIRONMENT	NOT_RUN_BOUND_NO_EX5_OR_EXPANDED_MASTER_CONFIG_IN_RUN_RECEIPT	SEMANTICALLY_CONSUMED	MASTER_INTERNAL_CONFIG_HASH_NOT_RUN_RECORDED	[{"kind":"SEALED_SOURCE_CLOSURE","logical_path":"Include/01Marketmain.mqh","sha256":"c684af82ce1d313f590aed7a7072119e6864407fb20fcdd2c651e8984189987f","marker":"cfg.prominent_poc_percent","lines":[402,1811]},{"kind":"SEALED_SOURCE_CLOSURE","logical_path":"Include/01Marketmain.mqh","sha256":"c684af82ce1d313f590aed7a7072119e6864407fb20fcdd2c651e8984189987f","marker":"m_cfg.prominent_poc_percent","lines":[1811]}]
master.volkitt.enable_single_prints	VOLKITT	bool	CONSTANT	{"mode":"CONSTANT","value":false,"distinct_count":1,"distinct_values":[false]}	RECOVERED_FROM_COLLECTION_ENVIRONMENT	NOT_RUN_BOUND_NO_EX5_OR_EXPANDED_MASTER_CONFIG_IN_RUN_RECEIPT	SEMANTICALLY_CONSUMED	MASTER_INTERNAL_CONFIG_HASH_NOT_RUN_RECORDED	[{"kind":"SEALED_SOURCE_CLOSURE","logical_path":"Include/01Marketmain.mqh","sha256":"c684af82ce1d313f590aed7a7072119e6864407fb20fcdd2c651e8984189987f","marker":"cfg.enable_single_prints","lines":[401,1817,2063]},{"kind":"SEALED_SOURCE_CLOSURE","logical_path":"Include/01Marketmain.mqh","sha256":"c684af82ce1d313f590aed7a7072119e6864407fb20fcdd2c651e8984189987f","marker":"m_cfg.enable_single_prints","lines":[1817,2063]}]
master.day_swings.confirm_reject_break_on_close	DAY_SWINGS	bool	CONSTANT	{"mode":"CONSTANT","value":true,"distinct_count":1,"distinct_values":[true]}	RECOVERED_FROM_COLLECTION_ENVIRONMENT	NOT_RUN_BOUND_NO_EX5_OR_EXPANDED_MASTER_CONFIG_IN_RUN_RECEIPT	SEMANTICALLY_CONSUMED	MASTER_INTERNAL_CONFIG_HASH_NOT_RUN_RECORDED	[{"kind":"SEALED_SOURCE_CLOSURE","logical_path":"Include/01dayswings.mqh","sha256":"d8d96be1a0773018731bbe27642ebbfc5ddf064569d65588d4a2a65b8e8bd0c5","marker":"cfg.confirm_reject_break_on_close","lines":[153,449]},{"kind":"SEALED_SOURCE_CLOSURE","logical_path":"Include/01dayswings.mqh","sha256":"d8d96be1a0773018731bbe27642ebbfc5ddf064569d65588d4a2a65b8e8bd0c5","marker":"m_cfg.confirm_reject_break_on_close","lines":[449]}]
master.day_swings.days_to_keep	DAY_SWINGS	int	CONSTANT	{"mode":"CONSTANT","value":5,"distinct_count":1,"distinct_values":[5]}	RECOVERED_FROM_COLLECTION_ENVIRONMENT	NOT_RUN_BOUND_NO_EX5_OR_EXPANDED_MASTER_CONFIG_IN_RUN_RECEIPT	SEMANTICALLY_CONSUMED	MASTER_INTERNAL_CONFIG_HASH_NOT_RUN_RECORDED	[{"kind":"SEALED_SOURCE_CLOSURE","logical_path":"Include/01dayswings.mqh","sha256":"d8d96be1a0773018731bbe27642ebbfc5ddf064569d65588d4a2a65b8e8bd0c5","marker":"cfg.days_to_keep","lines":[152,560,561]},{"kind":"SEALED_SOURCE_CLOSURE","logical_path":"Include/01dayswings.mqh","sha256":"d8d96be1a0773018731bbe27642ebbfc5ddf064569d65588d4a2a65b8e8bd0c5","marker":"m_cfg.days_to_keep","lines":[560,561]}]
master.volkitt.max_profile_bins	VOLKITT	int	CONSTANT	{"mode":"CONSTANT","value":12000,"distinct_count":1,"distinct_values":[12000]}	RECOVERED_FROM_COLLECTION_ENVIRONMENT	NOT_RUN_BOUND_NO_EX5_OR_EXPANDED_MASTER_CONFIG_IN_RUN_RECEIPT	SEMANTICALLY_CONSUMED	MASTER_INTERNAL_CONFIG_HASH_NOT_RUN_RECORDED	[{"kind":"SEALED_SOURCE_CLOSURE","logical_path":"Include/01Marketmain.mqh","sha256":"c684af82ce1d313f590aed7a7072119e6864407fb20fcdd2c651e8984189987f","marker":"cfg.max_profile_bins","lines":[398,1663,1716,2170]},{"kind":"SEALED_SOURCE_CLOSURE","logical_path":"Include/01Marketmain.mqh","sha256":"c684af82ce1d313f590aed7a7072119e6864407fb20fcdd2c651e8984189987f","marker":"m_cfg.max_profile_bins","lines":[1663,1716,2170]}]
