session_id	candidate_anchors	upper_anchors	lower_anchors	complete_path_candidate_anchors	range_objects	anchor_weight_per_candidate	session_weight_per_candidate	anchor_weight_per_range_object_at_fixed_k	session_weight_per_range_object_at_fixed_k
OBSOPEN_US30_20240502	36	20	16	36	30	0.00019466614755693986	0.00018037518037518038	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240508	54	53	1	54	30	0.00019466614755693986	0.00012025012025012025	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240509	68	66	2	68	30	0.00019466614755693986	0.00009549274255156609	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240513	34	1	33	34	30	0.00019466614755693986	0.00019098548510313219	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240516	34	24	10	34	30	0.00019466614755693986	0.00019098548510313219	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240521	15	8	7	15	30	0.00019466614755693986	0.00043290043290043295	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240522	36	12	24	36	30	0.00019466614755693986	0.00018037518037518038	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240523	67	1	66	67	30	0.00019466614755693986	0.00009691800736576857	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240530	15	7	8	15	30	0.00019466614755693986	0.00043290043290043295	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240606	18	13	5	18	30	0.00019466614755693986	0.00036075036075036075	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240610	19	14	5	19	30	0.00019466614755693986	0.0003417634996582365	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240611	22	8	14	22	30	0.00019466614755693986	0.000295159386068477	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240612	50	1	49	50	30	0.00019466614755693986	0.00012987012987012987	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240613	35	14	21	35	30	0.00019466614755693986	0.0001855287569573284	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240617	54	53	1	54	30	0.00019466614755693986	0.00012025012025012025	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240620	49	47	2	49	30	0.00019466614755693986	0.000132520540683806	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240625	53	7	46	53	30	0.00019466614755693986	0.00012251899044351877	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240701	29	11	18	29	30	0.00019466614755693986	0.00022391401701746532	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240702	41	40	1	41	30	0.00019466614755693986	0.00015837820715869496	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240711	20	13	7	20	30	0.00019466614755693986	0.0003246753246753247	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240716	66	65	1	66	30	0.00019466614755693986	0.00009838646202282567	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240717	28	27	1	28	30	0.00019466614755693986	0.00023191094619666049	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240722	20	5	15	20	30	0.00019466614755693986	0.0003246753246753247	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240724	35	3	32	35	30	0.00019466614755693986	0.0001855287569573284	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240725	55	54	1	55	30	0.00019466614755693986	0.0001180637544273908	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240730	30	19	11	30	30	0.00019466614755693986	0.00021645021645021648	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240731	57	53	4	57	30	0.00019466614755693986	0.00011392116655274551	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240801	98	4	94	98	30	0.00019466614755693986	0.000066260270341903	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240806	50	48	2	50	30	0.00019466614755693986	0.00012987012987012987	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240807	47	14	33	47	30	0.00019466614755693986	0.00013815971262779773	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240808	30	29	1	0	30	0.00019466614755693986	0.00021645021645021648	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240813	34	28	6	34	30	0.00019466614755693986	0.00019098548510313219	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240814	38	34	4	38	30	0.00019466614755693986	0.00017088174982911826	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240815	18	2	16	0	30	0.00019466614755693986	0.00036075036075036075	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240819	20	19	1	20	30	0.00019466614755693986	0.0003246753246753247	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240821	22	4	18	22	30	0.00019466614755693986	0.000295159386068477	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240822	35	5	30	35	30	0.00019466614755693986	0.0001855287569573284	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240826	29	14	15	29	30	0.00019466614755693986	0.00022391401701746532	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240828	39	7	32	39	30	0.00019466614755693986	0.0001665001665001665	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240829	40	27	13	40	30	0.00019466614755693986	0.00016233766233766234	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240905	35	2	33	35	30	0.00019466614755693986	0.0001855287569573284	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240909	57	53	4	57	30	0.00019466614755693986	0.00011392116655274551	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240910	25	1	24	25	30	0.00019466614755693986	0.00025974025974025974	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240916	13	7	6	13	30	0.00019466614755693986	0.0004995004995004995	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240917	25	11	14	25	30	0.00019466614755693986	0.00025974025974025974	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240919	26	13	13	26	30	0.00019466614755693986	0.00024975024975024975	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240923	10	2	8	10	30	0.00019466614755693986	0.0006493506493506494	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240924	10	6	4	10	30	0.00019466614755693986	0.0006493506493506494	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240925	46	2	44	46	30	0.00019466614755693986	0.00014116318464144553	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20240926	14	8	6	14	30	0.00019466614755693986	0.00046382189239332097	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20241001	19	5	14	19	30	0.00019466614755693986	0.0003417634996582365	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20241003	15	3	12	15	30	0.00019466614755693986	0.00043290043290043295	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20241009	2	1	1	2	30	0.00019466614755693986	0.003246753246753247	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20241014	18	15	3	18	30	0.00019466614755693986	0.00036075036075036075	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20241021	2	1	1	2	30	0.00019466614755693986	0.003246753246753247	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20241022	15	9	6	15	30	0.00019466614755693986	0.00043290043290043295	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20241024	2	1	1	2	30	0.00019466614755693986	0.003246753246753247	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20250113	39	38	1	39	30	0.00019466614755693986	0.0001665001665001665	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20250116	19	5	14	19	30	0.00019466614755693986	0.0003417634996582365	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20250121	39	37	2	0	30	0.00019466614755693986	0.0001665001665001665	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20250122	17	6	11	17	30	0.00019466614755693986	0.00038197097020626437	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20250123	60	59	1	60	30	0.00019466614755693986	0.00010822510822510824	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20250127	47	46	1	47	30	0.00019466614755693986	0.00013815971262779773	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20250128	39	33	6	39	30	0.00019466614755693986	0.0001665001665001665	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20250130	39	36	3	39	30	0.00019466614755693986	0.0001665001665001665	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20250203	33	28	5	33	30	0.00019466614755693986	0.00019677292404565134	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20250204	30	27	3	30	30	0.00019466614755693986	0.00021645021645021648	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20250205	63	52	11	63	30	0.00019466614755693986	0.00010307153164296022	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20250206	41	1	40	41	30	0.00019466614755693986	0.00015837820715869496	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20250211	42	40	2	42	30	0.00019466614755693986	0.00015460729746444033	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20250213	37	31	6	37	30	0.00019466614755693986	0.00017550017550017552	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20250218	17	8	9	17	30	0.00019466614755693986	0.00038197097020626437	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20250219	31	26	5	31	30	0.00019466614755693986	0.0002094679514034353	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20250220	42	4	38	42	30	0.00019466614755693986	0.00015460729746444033	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20250224	29	11	18	29	30	0.00019466614755693986	0.00022391401701746532	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20250225	24	6	18	24	30	0.00019466614755693986	0.00027056277056277056	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20250226	46	26	20	46	30	0.00019466614755693986	0.00014116318464144553	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20250304	45	13	32	45	30	0.00019466614755693986	0.0001443001443001443	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20250305	51	43	8	51	30	0.00019466614755693986	0.00012732365673542146	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20250306	40	31	9	40	30	0.00019466614755693986	0.00016233766233766234	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20250310	64	9	55	64	30	0.00019466614755693986	0.00010146103896103897	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20250311	34	2	32	34	30	0.00019466614755693986	0.00019098548510313219	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20250313	52	10	42	52	30	0.00019466614755693986	0.00012487512487512488	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20250314	44	40	4	44	30	0.00019466614755693986	0.0001475796930342385	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20250318	30	1	29	30	30	0.00019466614755693986	0.00021645021645021648	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20250319	35	33	2	35	30	0.00019466614755693986	0.0001855287569573284	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20250320	37	35	2	37	30	0.00019466614755693986	0.00017550017550017552	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20250321	47	39	8	0	30	0.00019466614755693986	0.00013815971262779773	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20250324	32	30	2	32	30	0.00019466614755693986	0.00020292207792207794	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20250325	18	1	17	18	30	0.00019466614755693986	0.00036075036075036075	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20250326	42	10	32	42	30	0.00019466614755693986	0.00015460729746444033	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20250327	25	14	11	25	30	0.00019466614755693986	0.00025974025974025974	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20250331	80	72	8	80	30	0.00019466614755693986	0.00008116883116883117	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20250401	40	24	16	40	30	0.00019466614755693986	0.00016233766233766234	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20250402	54	53	1	54	30	0.00019466614755693986	0.00012025012025012025	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20250403	37	3	34	37	30	0.00019466614755693986	0.00017550017550017552	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20250407	27	16	11	27	30	0.00019466614755693986	0.0002405002405002405	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20250408	91	8	83	91	30	0.00019466614755693986	0.00007135721421435707	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20250414	28	3	25	28	30	0.00019466614755693986	0.00023191094619666049	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20250416	60	13	47	60	30	0.00019466614755693986	0.00010822510822510824	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20250417	42	24	18	42	30	0.00019466614755693986	0.00015460729746444033	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20250428	38	8	30	38	30	0.00019466614755693986	0.00017088174982911826	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20250429	34	31	3	34	30	0.00019466614755693986	0.00019098548510313219	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20250430	36	18	18	0	30	0.00019466614755693986	0.00018037518037518038	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20250501	29	25	4	0	30	0.00019466614755693986	0.00022391401701746532	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20250507	33	27	6	0	30	0.00019466614755693986	0.00019677292404565134	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20250508	37	25	12	37	30	0.00019466614755693986	0.00017550017550017552	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20250513	11	8	3	0	30	0.00019466614755693986	0.000590318772136954	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20250514	18	1	17	18	30	0.00019466614755693986	0.00036075036075036075	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20250515	53	51	2	53	30	0.00019466614755693986	0.00012251899044351877	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20250521	31	5	26	31	30	0.00019466614755693986	0.0002094679514034353	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20250522	9	8	1	0	30	0.00019466614755693986	0.0007215007215007215	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20250529	18	3	15	0	30	0.00019466614755693986	0.00036075036075036075	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20250604	17	4	13	17	30	0.00019466614755693986	0.00038197097020626437	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20250610	7	3	4	0	30	0.00019466614755693986	0.0009276437847866419	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20250612	28	20	8	0	30	0.00019466614755693986	0.00023191094619666049	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20250616	28	27	1	28	30	0.00019466614755693986	0.00023191094619666049	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20250618	21	20	1	0	30	0.00019466614755693986	0.00030921459492888067	0.00021645021645021645	0.006493506493506494
OBSOPEN_US30_20250630	27	14	13	27	30	0.00019466614755693986	0.0002405002405002405	0.00021645021645021645	0.006493506493506494
